"";"spol";"starostne.skupine";"leto";"vzrok";"stevilo.umrlih"
"447";"M";"60-64";2011;"druge.nezgode";33
"448";"M";"60-64";2011;"samomori";34
"449";"M";"60-64";2012;"transportne.nezgode";4
"450";"M";"60-64";2012;"padci";17
"451";"M";"60-64";2012;"druge.nezgode";29
"452";"M";"60-64";2012;"samomori";29
"453";"M";"60-64";2013;"transportne.nezgode";8
"454";"M";"60-64";2013;"padci";19
"455";"M";"60-64";2013;"druge.nezgode";21
"456";"M";"60-64";2013;"samomori";38
"457";"M";"60-64";2014;"transportne.nezgode";7
"458";"M";"60-64";2014;"padci";7
"459";"M";"60-64";2014;"druge.nezgode";19
"460";"M";"60-64";2014;"samomori";26
"461";"M";"60-64";2015;"transportne.nezgode";10
"462";"M";"60-64";2015;"padci";11
"463";"M";"60-64";2015;"druge.nezgode";25
"464";"M";"60-64";2015;"samomori";41
"465";"M";"60-64";2016;"transportne.nezgode";11
"466";"M";"60-64";2016;"padci";16
"467";"M";"60-64";2016;"druge.nezgode";24
"468";"M";"60-64";2016;"samomori";28
"469";"M";"60-64";2017;"transportne.nezgode";6
"470";"M";"60-64";2017;"padci";13
"471";"M";"60-64";2017;"druge.nezgode";17
"472";"M";"60-64";2017;"samomori";31
"473";"M";"60-64";2018;"transportne.nezgode";11
"474";"M";"60-64";2018;"padci";11
"475";"M";"60-64";2018;"druge.nezgode";24
"476";"M";"60-64";2018;"samomori";22
"477";"M";"60-64";2019;"transportne.nezgode";12
"478";"M";"60-64";2019;"padci";9
"479";"M";"60-64";2019;"druge.nezgode";19
"480";"M";"60-64";2019;"samomori";35
"481";"M";"60-64";2020;"transportne.nezgode";11
"482";"M";"60-64";2020;"padci";15
"483";"M";"60-64";2020;"druge.nezgode";12
"484";"M";"60-64";2020;"samomori";24
"485";"M";"65-69";2010;"transportne.nezgode";7
"486";"M";"65-69";2010;"padci";17
"487";"M";"65-69";2010;"druge.nezgode";22
"488";"M";"65-69";2010;"samomori";19
"489";"M";"65-69";2011;"transportne.nezgode";3
"490";"M";"65-69";2011;"padci";11
"491";"M";"65-69";2011;"druge.nezgode";27
"492";"M";"65-69";2011;"samomori";23
"493";"M";"65-69";2012;"transportne.nezgode";7
"494";"M";"65-69";2012;"padci";14
"495";"M";"65-69";2012;"druge.nezgode";19
"496";"M";"65-69";2012;"samomori";20
"497";"M";"65-69";2013;"transportne.nezgode";7
"498";"M";"65-69";2013;"padci";13
"499";"M";"65-69";2013;"druge.nezgode";16
"500";"M";"65-69";2013;"samomori";20
"501";"M";"65-69";2014;"transportne.nezgode";3
"502";"M";"65-69";2014;"padci";9
"503";"M";"65-69";2014;"druge.nezgode";19
"504";"M";"65-69";2014;"samomori";19
"505";"M";"65-69";2015;"transportne.nezgode";4
"506";"M";"65-69";2015;"padci";10
"507";"M";"65-69";2015;"druge.nezgode";18
"508";"M";"65-69";2015;"samomori";21
"509";"M";"65-69";2016;"transportne.nezgode";8
"510";"M";"65-69";2016;"padci";14
"511";"M";"65-69";2016;"druge.nezgode";24
"512";"M";"65-69";2016;"samomori";16
"513";"M";"65-69";2017;"transportne.nezgode";4
"514";"M";"65-69";2017;"padci";20
"515";"M";"65-69";2017;"druge.nezgode";10
"516";"M";"65-69";2017;"samomori";23
"517";"M";"65-69";2018;"transportne.nezgode";8
"518";"M";"65-69";2018;"padci";16
"519";"M";"65-69";2018;"druge.nezgode";22
"520";"M";"65-69";2018;"samomori";25
"521";"M";"65-69";2019;"transportne.nezgode";10
"522";"M";"65-69";2019;"padci";14
"523";"M";"65-69";2019;"druge.nezgode";20
"524";"M";"65-69";2019;"samomori";25
"525";"M";"65-69";2020;"transportne.nezgode";5
"526";"M";"65-69";2020;"padci";16
"527";"M";"65-69";2020;"druge.nezgode";20
"528";"M";"65-69";2020;"samomori";29
"529";"M";"70-74";2010;"transportne.nezgode";8
"530";"M";"70-74";2010;"padci";29
"531";"M";"70-74";2010;"druge.nezgode";22
"532";"M";"70-74";2010;"samomori";25
"533";"M";"70-74";2011;"transportne.nezgode";6
"534";"M";"70-74";2011;"padci";25
"535";"M";"70-74";2011;"druge.nezgode";29
"536";"M";"70-74";2011;"samomori";37
"537";"M";"70-74";2012;"transportne.nezgode";8
"538";"M";"70-74";2012;"padci";24
"539";"M";"70-74";2012;"druge.nezgode";27
"540";"M";"70-74";2012;"samomori";24
"541";"M";"70-74";2013;"transportne.nezgode";12
"542";"M";"70-74";2013;"padci";22
"543";"M";"70-74";2013;"druge.nezgode";27
"544";"M";"70-74";2013;"samomori";19
"545";"M";"70-74";2014;"transportne.nezgode";5
"546";"M";"70-74";2014;"padci";23
"547";"M";"70-74";2014;"druge.nezgode";17
"548";"M";"70-74";2014;"samomori";30
"549";"M";"70-74";2015;"transportne.nezgode";7
"550";"M";"70-74";2015;"padci";17
"551";"M";"70-74";2015;"druge.nezgode";16
"552";"M";"70-74";2015;"samomori";24
"553";"M";"70-74";2016;"transportne.nezgode";4
"554";"M";"70-74";2016;"padci";19
"555";"M";"70-74";2016;"druge.nezgode";21
"556";"M";"70-74";2016;"samomori";17
"557";"M";"70-74";2017;"transportne.nezgode";4
"558";"M";"70-74";2017;"padci";25
"559";"M";"70-74";2017;"druge.nezgode";20
"560";"M";"70-74";2017;"samomori";23
"561";"M";"70-74";2018;"transportne.nezgode";6
"562";"M";"70-74";2018;"padci";15
"563";"M";"70-74";2018;"druge.nezgode";23
"564";"M";"70-74";2018;"samomori";28
"565";"M";"70-74";2019;"transportne.nezgode";2
"566";"M";"70-74";2019;"padci";9
"567";"M";"70-74";2019;"druge.nezgode";22
"568";"M";"70-74";2019;"samomori";33
"569";"M";"70-74";2020;"transportne.nezgode";5
"570";"M";"70-74";2020;"padci";31
"571";"M";"70-74";2020;"druge.nezgode";22
"572";"M";"70-74";2020;"samomori";24
"573";"M";"75-79";2010;"transportne.nezgode";3
"574";"M";"75-79";2010;"padci";39
"575";"M";"75-79";2010;"druge.nezgode";9
"576";"M";"75-79";2010;"samomori";20
"577";"M";"75-79";2011;"transportne.nezgode";9
"578";"M";"75-79";2011;"padci";46
"579";"M";"75-79";2011;"druge.nezgode";29
"580";"M";"75-79";2011;"samomori";19
"581";"M";"75-79";2012;"transportne.nezgode";2
"582";"M";"75-79";2012;"padci";28
"583";"M";"75-79";2012;"druge.nezgode";33
"584";"M";"75-79";2012;"samomori";28
"585";"M";"75-79";2013;"transportne.nezgode";6
"586";"M";"75-79";2013;"padci";33
"587";"M";"75-79";2013;"druge.nezgode";16
"588";"M";"75-79";2013;"samomori";25
"589";"M";"75-79";2014;"transportne.nezgode";12
"590";"M";"75-79";2014;"padci";16
"591";"M";"75-79";2014;"druge.nezgode";11
"592";"M";"75-79";2014;"samomori";24
"593";"M";"75-79";2015;"transportne.nezgode";5
"594";"M";"75-79";2015;"padci";28
"595";"M";"75-79";2015;"druge.nezgode";22
"596";"M";"75-79";2015;"samomori";22
"597";"M";"75-79";2016;"transportne.nezgode";5
"598";"M";"75-79";2016;"padci";23
